0001001	Dome Real Angle
0002003	AZ CMD Angle ANS
0002004	EL CMD Angle ANS
0002005	AZ Position Error
0002006	EL Position Error
0002007	AZ Rate REF
0002008	EL Rate REF
0002009	Mount Data SMPLG Time ANS
000200A	AZ Rate FDBK-1A
000200B	AZ Rate FDBK-1B
000200C	AZ Rate FDBK-2A
000200D	AZ Rate FDBK-2B
000200E	EL Rate FDBK-1A
000200F	EL Rate FDBK-1B
0002010	EL Rate FDBK-2A
0002011	EL Rate FDBK-2B
0002012	EL Rate FDBK-3A
0002013	EL Rate FDBK-3B
0002014	EL Rate FDBK-4A
0002015	EL Rate FDBK-4B
0002016	AZ Current REF-1A
0002017	AZ Current REF-1B
0002018	AZ Current REF-2A
0002019	AZ Current REF-2B
000201A	EL Current REF-1A
000201B	EL Current REF-1B
000201C	EL Current REF-2A
000201D	EL Current REF-2B
000201E	EL Current REF-3A
000201F	EL Current REF-3B
0002020	EL Current REF-4A
0002021	EL Current REF-4B
0002022	Mount Pointing Mode
0002023	Mount Open Tracking Mode
0002024	Mount Auto Guiding Mode
0002025	Mount Slew Mode
0002026	Mount Test Mode
0002027	Mount Test Result
0002028	AZ Drive On Ready
0002029	AZ Drive On
000202A	AZ Drive Off
000202B	EL Drive On Ready
000202C	EL Drive On
000202D	EL Drive Off
000202E	TSC COML PWR Fault on MTDR
000202F	AZ Fix Pin On Ready
0002030	AZ Fix Pin On
0002031	AZ Fix Pin Off Ready
0002032	AZ Fix Pin Off
0002033	EL Stow Pins On Ready(From Mount)
0002034	EL Stow Pins On(From Mount)
0002035	EL Stow Pins Off Ready(From Mount)
0002036	EL Stow Pins Off(From Mount)
0002037	AZ Fix Pin Position
0002038	EL Stow Pins Position(90) Selected
0002039	EL Stow Pins Position(15) Selected
000203A	AZ Fix Pin Alarm
000203B	EL Stow Pins Alarm
000203C	AZ 1st Limit +
000203D	AZ 1st Limit -
000203E	AZ 2nd Limit +
000203F	AZ 2nd Limit -
0002040	AZ Cable Overlap + 1
0002041	AZ Cable Overlap - 1
0002042	EL 1st Limit Up
0002043	EL 1st Limit Down
0002044	EL 2nd Limit Up
0002045	EL 2nd Limit Down
0002046	Mount Drive Safety
0002047	AZ DCPA Fault
0002048	AZ DPA-1A Alarm
0002049	AZ DPA-1B Alarm
000204A	AZ DPA-2A Alarm
000204B	AZ DPA-2B Alarm
000204C	EL DCPA Fault
000204D	EL DPA-1A Alarm
000204E	EL DPA-1B Alarm
000204F	EL DPA-2A Alarm
0002050	EL DPA-2B Alarm
0002051	EL DPA-3A Alarm
0002052	EL DPA-3B Alarm
0002053	EL DPA-4A Alarm
0002054	EL DPA-4B Alarm
0002055	AZ DPA-1A Not Used
0002056	AZ DPA-1B Not Used
0002057	AZ DPA-2A Not Used
0002058	AZ DPA-2B Not Used
0002059	EL DPA-1A Not Used
000205A	EL DPA-1B Not Used
000205B	EL DPA-2A Not Used
000205C	EL DPA-2B Not Used
000205D	EL DPA-3A Not Used
000205E	EL DPA-3B Not Used
000205F	EL DPA-4A Not Used
0002060	EL DPA-4B Not Used
0002061	Mount-Dome Remote SYNC on MTDR
0002062	Mount-Dome Remote ASYNC on MTDR
0002063	Mount Total Fan Alarm
0002064	TRQ Total Fan Alarm
0002065	Mount Local
0002066	AZ ABS ENCDR-1 Alarm
0002067	AZ ABS ENCDR-2 Alarm
0002068	AZ ABS ENCDR-3 Alarm
0002069	AZ ABS ENCDR-4 Alarm
000206A	AZ ABS ENCDR-5 Alarm
000206B	AZ ABS ENCDR-6 Alarm
000206C	AZ ABS ENCDR-7 Alarm
000206D	AZ ABS ENCDR-8 Alarm
000206E	AZ ABS ENCDR-1 Not Used
000206F	AZ ABS ENCDR-2 Not Used
0002070	AZ ABS ENCDR-3 Not Used
0002071	AZ ABS ENCDR-4 Not Used
0002072	AZ ABS ENCDR-5 Not Used
0002073	AZ ABS ENCDR-6 Not Used
0002074	AZ ABS ENCDR-7 Not Used
0002075	AZ ABS ENCDR-8 Not Used
0002076	AZ INC ENCDR-1 Alarm
0002077	AZ INC ENCDR-2 Alarm
0002078	AZ INC ENCDR-3 Alarm
0002079	AZ INC ENCDR-4 Alarm
000207A	AZ INC ENCDR-5 Alarm
000207B	AZ INC ENCDR-6 Alarm
000207C	AZ INC ENCDR-7 Alarm
000207D	AZ INC ENCDR-8 Alarm
000207E	AZ INC ENCDR-1 Not Used
000207F	AZ INC ENCDR-2 Not Used
0002080	AZ INC ENCDR-3 Not Used
0002081	AZ INC ENCDR-4 Not Used
0002082	AZ INC ENCDR-5 Not Used
0002083	AZ INC ENCDR-6 Not Used
0002084	AZ INC ENCDR-7 Not Used
0002085	AZ INC ENCDR-8 Not Used
0002086	EL ABS ENCDR-1 Alarm
0002087	EL ABS ENCDR-2 Alarm
0002088	EL ABS ENCDR-3 Alarm
0002089	EL ABS ENCDR-4 Alarm
000208A	EL ABS ENCDR-5 Alarm
000208B	EL ABS ENCDR-6 Alarm
000208C	EL ABS ENCDR-7 Alarm
000208D	EL ABS ENCDR-8 Alarm
000208E	EL ABS ENCDR-1 Not Used
000208F	EL ABS ENCDR-2 Not Used
0002090	EL ABS ENCDR-3 Not Used
0002091	EL ABS ENCDR-4 Not Used
0002092	EL ABS ENCDR-5 Not Used
0002093	EL ABS ENCDR-6 Not Used
0002094	EL ABS ENCDR-7 Not Used
0002095	EL ABS ENCDR-8 Not Used
0002096	EL INC ENCDR-1 Alarm
0002097	EL INC ENCDR-2 Alarm
0002098	EL INC ENCDR-3 Alarm
0002099	EL INC ENCDR-4 Alarm
000209A	EL INC ENCDR-5 Alarm
000209B	EL INC ENCDR-6 Alarm
000209C	EL INC ENCDR-7 Alarm
000209D	EL INC ENCDR-8 Alarm
000209E	EL INC ENCDR-1 Not Used
000209F	EL INC ENCDR-2 Not Used
00020A0	EL INC ENCDR-3 Not Used
00020A1	EL INC ENCDR-4 Not Used
00020A2	EL INC ENCDR-5 Not Used
00020A3	EL INC ENCDR-6 Not Used
00020A4	EL INC ENCDR-7 Not Used
00020A5	EL INC ENCDR-8 Not Used
00020A6	Mount MAINT
00020A7	Opt VME Door Open on MTDR
00020A8	IR VME Door Open on MTDR
00020A9	AZ MAINT Door1 Open
00020AA	AZ MAINT Door2 Open
00020AB	TCDCPA MAINT
00020AC	TORQUE MAINT
00020AD	AZ 1st Slave Limit +
00020AE	AZ 1st Slave Limit -
00020AF	AZ 2nd Slave Limit +
00020B0	AZ 2nd Slave Limit -
00020B1	AZ Cable 1st Slave Limit +
00020B2	AZ Cable 1st Slave Limit -
00020B3	TCDCPA Fault
00020B4	TCDPA2(MCU) Fault
00020B5	MLP1-Mount Alarm
00020B6	MLP2-Mount Alarm
00020B7	Dome-Mount Alarm
00020B8	TRQ-Mount Alarm
00020B9	Mount EMER Stop ANS
00020BA	Torque Panel Alarm
00020BB	Balancer-Torque Alarm on MTDR
00020BC	Mount-Torque Alarm
00020BD	AZ Cable Real Angle
00020BE	EL Cable(IR) Real Angle
00020BF	EL Cable(Opt) Real Angle
00020C0	Torque Detector Real Angle
00020C1	AZ Cable Position Error
00020C2	EL Cable(IR) Position Error
00020C3	EL Cable(Opt) Position Error
00020C4	TRQ Detector Position Error
00020C5	AZ Cable Drive On Ready
00020C6	EL Cable(IR) Drive On Ready
00020C7	TRQ Detector Drive On Ready
00020C8	AZ Cable Drive On
00020C9	EL Cable(IR) Drive On
00020CA	TRQ Detector Drive On
00020CB	AZ Cable Drive Off
00020CC	EL Cable(IR) Drive Off
00020CD	TRQ Detecotr Drive Off
00020CE	AZ Cable S/W Slave Limit +
00020CF	AZ Cable S/W Slave Limit -
00020D0	EL Cable(IR) Slave Warning Up
00020D1	EL Cable(IR) Slave Warning Down
00020D2	EL Cable(IR) S/W SL Limit Up
00020D3	EL Cable(IR) S/W Slave Limit Down
00020D4	EL Cable(Opt) Slave Warning Up
00020D5	EL Cable(Opt) Slave Warning Down
00020D6	AZ Cable Slave Warning +
00020D7	AZ Cable Slave Warning -
00020D8	EL Cable(Opt) 1st Slave Limit Up
00020D9	EL Cable(Opt) 1st Slave Limit Down
00020DA	EL Cable(IR) 1st Slave Limit Up
00020DB	EL Cable(IR) 1st Slave Limit Down
00020DC	AZ Cable 2nd Slave Limit +
00020DD	AZ Cable 2nd Slave Limit -
00020DE	EL Cable(Opt) 2nd Slave Limit Up
00020DF	EL Cable(Opt) 2nd Slave Limit Down
00020E0	EL Cable(IR) 2nd Slave Limit Up
00020E1	EL Cable(IR) 2nd Slave Limit Down
00020E2	AZ Twister DPA Fault
00020E3	EL Twister(Opt) DPA Fault
00020E4	Mount Test Data Send
00020E5	Mount Test Data End
00020E6	Mount Data SMPLG INTVL
00020E7	Torque Local on MTDR
00020E8	Balancer Test on MTDR
00020E9	EL Cable(Opt) S/W Slave Limit Up
00020EA	Mount Safety2
00020EB	Mount Safety3
00020EC	Mount Safety4
00020ED	Mount Safety5
00020EE	Mount Safety6
00020EF	Mount Safety7
00020F0	Mount Safety8
00020F1	EL Cable(Opt) S/W Slave Limit Down
00020F2	Mount-Dome Local SYNC on MTDR
00020F3	Mount-Dome Local ASYNC on MTDR
00020F4	Torque Slave Warning Up
00020F5	AZ Auto Guide Offset CMD
00020F6	EL Auto Guide Offset CMD
00020F7	AZ Single Drive
00020F8	EL Single Drive
00020F9	AZ/EL Limit Reset
00020FA	SPU5(NsIR)-Mount Alarm
00020FB	Torque Slave Warning Down
00020FC	EL Twister(IR) DPA Fault
00020FD	Torque Limit Reset
00020FE	EL Stow Pins1 Handle
00020FF	AZ ABS ENCDR Not INIT
0002100	AZ ABS ENCDR Not Zeroed
0002101	AZ ABS ENCDR Zeroing
0002102	AZ ABS ENCDR Not COMPEN PROC
0002103	AZ ABS ENCDR COMPEN PROC RUN
0002104	EL ABS ENCDR Not INIT
0002105	EL ABS ENCDR Not Zeroed
0002106	EL ABS ENCDR Zeroing
0002107	EL ABS ENCDR Not COMPEN PROC
0002108	EL ABS ENCDR COMPEN PROC RUN
0002109	EL Stow Pins2 Handle
000210A	AZ Fix Pin Handle
000210B	Oil Pressure CB Off
000210C	Low Pressure Alarm
000210D	Mount Fault
000210E	Mount OEU Fault
000210F	TCADU1(Mount) Fault
0002110	TCADU2(Mount) Fault
0002111	TCADU3(ASCU) Fault
0002112	TCSPU2/5(NsIR) Fault (Mount IND)
0002113	TCSPU3/6(NsOpt) Fault (Mount IND)
0002114	TCMCU EXT CLK Alarm
0002115	EL Cable(Opt) Drive On
0002116	EL Cable(Opt) Drive Off
0002117	EL Cable(Opt) Drive On Ready
0002118	EL Cable-Torque SYNC
0002119	AZ Cable Overlap + 2
000211A	AZ Cable Overlap - 2
000211B	Torque Drive Safety
000211C	AZ Cable Handle
000211D	EL Cable(IR) Handle
000211E	EL Cable(Opt) Handle
000211F	Torque Handle
0002120	Torque Alarm
0002121	Cover Position Alarm
0002122	TCCTCU EMER Stop
0002123	COML PWR Fault
0002124	TCSPU2/5(NsIR) Fault (CTCU IND)
0002125	TCSPU3/6(NsOpt) Fault (CTCU IND)
0002126	TCCTCU EXT CLK Alarm
0002127	MLP1 Master
0002128	DCU Master
0002129	DRPU Master
000212A	DLCL Master
000212B	Mount Master
000212C	Mount Test Pattern ANS
000212D	Mount CMD VEL ANS
000212E	Mount Test Ready
000212F	Mount Test
0002130	AZ 3rd Limit +
0002131	AZ 3rd Limit -
0002132	AZ/EL Not Drive Permissive
0002133	Torque DPA Fault
0002134	Torque Fault
0002135	TCDPA1(Torque) Fault
0002136	UPS1 Alarm (Mount IND)
0002137	UPS2 Alarm (Mount IND)
0002138	AZ Auto Guide Offset Real
0002139	EL Auto Guide Offset Real
000213A	Mount S/D REF Alarm
000213B	AZ CRS Alarm
000213C	AZ FINE Alarm
000213D	EL CRS Alarm
000213E	EL FINE Alarm
000213F	AZ S/D ENCDR Selected
0002140	EL S/D ENCDR Selected
0002141	AZ BIT3 I/F Fault
0002142	AZ BIT3 PT INT
0002143	AZ BIT3 I/F TImeout
0002144	AZ BIT3 LRC Error
0002145	AZ BIT3 PR INT
0002146	AZ BIT3 BUS Error
0002147	AZ BIT3 Parity Error
0002148	EL BIT3 I/F Fault
0002149	EL BIT3 PT INT
000214A	EL BIT3 I/F Timeout
000214B	EL BIT3 LRC Error
000214C	EL BIT3 PR INT
000214D	EL BIT3 BUS Error
000214F	EL BIT3 Parity Error
0002150	AZ ABS ENCDR COMPEN Read
0002151	AZ ABS ENCDR COMPEN Write
0002152	AZ ABS ENCDR COMPEN Save
0002153	ABS ENCDR Terminal I/F
0002154	EL ABS ENCDR COMPEN Read
0002155	EL ABS ENCDR COMPEN Write
0002156	AZ ABS CH1 COMPEN RAM Data Invalid
0002157	AZ ABS CH2 COMPEN RAM Data Invalid
0002158	AZ ABS CH3 COMPEN RAM Data Invalid
0002159	AZ ABS CH4 COMPEN RAM Data Invalid
000215A	AZ ABS CH5 COMPEN RAM Data Invalid
000215B	AZ ABS CH6 COMPEN RAM Data Invalid
000215C	AZ ABS CH7 COMPEN RAM Data Invalid
000215D	AZ ABS CH8 COMPEN RAM Data Invalid
000215E	EL ABS CH1 COMPEN RAM Data Invalid
000215F	EL ABS CH2 COMPEN RAM Data Invalid
0002160	EL ABS CH3 COMPEN RAM Data Invalid
0002161	EL ABS CH4 COMPEN RAM Data Invalid
0002162	EL ABS CH5 COMPEN RAM Data Invalid
0002163	EL ABS CH6 COMPEN RAM Data Invalid
0002164	EL ABS CH7 COMPEN RAM Data Invalid
0002165	EL ABS CH8 COMPEN RAM Data Invalid
0002166	EL ABS ENCDR COMPEN Save
0003001	X Real Position
0003002	Y Real Position
0003003	Z Real Position
0003004	X Real Angle
0003005	Y Real Angle
0003006	L1 Real Position
0003007	L2 Real Position
0003008	L3 Real Position
0003009	L4 Real Position
000300A	L5 Real Position
000300B	L6 Real Position
000300C	X CMD Position
000300D	Y CMD Position
000300E	Z CMD Position
000300F	X CMD Angle
0003010	Y CMD Angle
0003011	L1 CMD Position
0003012	L2 CMD Position
0003013	L3 CMD Position
0003014	L4 CMD Position
0003015	L5 CMD Position
0003016	L6 CMD Position
0003017	L1 Position Error
0003018	L2 Position Error
0003019	L3 Position Error
000301A	L4 Position Error
000301B	L5 Position Error
000301C	L6 Position Error
000301D	SP Drive On
000301E	SP Drive Off
000301F	L1 Drive On
0003020	L1 Drive Off
0003021	L2 Drive On
0003022	L2 Drive Off
0003023	L3 Drive On
0003024	L3 Drive Off
0003025	L4 Drive On
0003026	L4 Drive Off
0003027	L5 Drive On
0003028	L5 Drive Off
0003029	L6 Drive On
000302A	L6 Drive Off
000302B	2nd Mirror Pointing Mode
000302C	2nd Mirror Test Mode
000302D	2nd Mirror Test Pattern
000302E	2nd Mirror Test Result
0003035	L1 1st Limit Up
0003036	L1 1st Limit Down
0003037	L2 1st Limit Up
0003038	L2 1st Limit Down
0003039	L3 1st Limit Up
000303A	L3 1st Limit Down
000303B	L4 1st Limit Up
000303C	L4 1st Limit Down
000303D	L5 1st Limit Up
000303E	L5 1st Limit Down
000303F	L6 1st Limit Up
0003040	L6 1st Limit Down
0003041	L1 2nd Limit Up
0003042	L2 2nd Limit Up
0003043	L3 2nd Limit Up
0003044	L4 2nd Limit Up
0003045	L5 2nd Limit Up
0003046	L6 2nd Limit Up
0003047	2nd Mirror Slewing Mode
0003048	2nd Mirror MAINT
0003049	2nd Mirror EMER Stop
000304A	2nd Mirror Limit Reset
000304B	2nd Mirror COML PWR Fault
000304C	2nd Mirror EXT CLK Alarm
000304D	2nd Mirror SP Real Valid
000304E	OEU Fault
000304F	SPU1/4(Cs) Fault
0003050	ADU1(SMCU) Fault on SMCU
0003051	2nd Mirror Data SMPLG Time ANS
0003052	2nd Mirror CMD Velocity ANS
0003053	2nd Mirror Data SMPLG INTVL
0003054	2nd Mirror SP Mode Selected(BASE)
0003055	L1 DPA Fault
0003056	L2 DPA Fault
0003057	L3 DPA Fault
0003058	L4 DPA Fault
0003059	L5 DPA Fault
0003060	L6 DPA Fault
0003061	2nd Mirror DPA1 Fault
0003062	2nd Mirror DPA2 Fault
0003063	TS1 Temperature
0003064	TS2 Temperature
0003065	TS3 Temperature
0003066	TS4 Temperature
0003067	L1 L/S ENCDR Alarm
0003068	L2 L/S ENCDR Alarm
0003069	L3 L/S ENCDR Alarm
000306A	L4 L/S ENCDR Alarm
000306B	L5 L/S ENCDR Alarm
000306C	L6 L/S ENCDR Alarm
000306D	2nd Mirror Fault
000306E	MLP2-2nd Mirror Alarm
000306F	TS5 Temperature
0003070	2nd Mirror Total Fan Alarm
0003071	2nd Mirror Local
0003072	2nd Mirror DPA1 Power On
0003073	2nd Mirror DPA1 Power Off
0003074	2nd Mirror DPA2 Power On
0003075	2nd Mirror DPA2 Power Off
0003076	2nd Mirror Link Mode Selected
0003077	Top Unit Code on SMCU
0003078	2nd Mirror L1 Drive On Ready
0003079	2nd Mirror L2 Drive On Ready
000307A	2nd Mirror L3 Drive On Ready
000307B	2nd Mirror L4 Drive On Ready
000307C	2nd Mirror L5 Drive On Ready
000307D	2nd Mirror L6 Drive On Ready
000307E	2nd Mirror L/S CONV1 Power On
000307F	2nd Mirror L/S CONV1 Power Off
0003080	2nd Mirror L/S CONV2 Power On
0003081	2nd Mirror L/S CONV2 Power Off
0003082	2nd Mirror Link Zeroing Stop
0003083	2nd Mirror Link Not Zeroed
0003084	2nd Mirror SP Mode Selected(SPACE)
0003085	L1 2nd Limit Down
0003086	L2 2nd Limit Down
0003087	L3 2nd Limit Down
0003088	L4 2nd Limit Down
0003089	L5 2nd Limit Down
000308A	L6 2nd Limit Down
000308B	2nd Mirror Link Zeroing
000308C	Z Real Angle
000308D	Z CMD Angle
000308E	TS6 Temperature
000308F	2nd Mirror Test Ready
0003090	2nd Mirror Test
0003091	2nd Mirror Test Data Send
0003092	2nd Mirror Test Data End
0003093	TS7 Temperature
0003094	TS8 Temperature
0003095	Top Unit Disconnect
0003096	Pretorque Fault
0003097	IR-Spring1 Limit Up
0003098	IR-Spring1 Limit Down
0003099	IR-Spring2 Limit Up
000309A	IR-Spring2 Limit Down
000309B	IR-Spring3 Limit Up
000309C	IR-Spring3 Limit Down
000309D	Link Selected Ready
000309E	SP Selected Ready
00030B7	PFU X 1st +
00030B8	PFU X 1st -
00030B9	PFU Y 1st +
00030BA	PFU Y 1st -
00030BB	PFU Z 1st +
00030BC	PFU Z 1st -
00030BD	PFU X 2nd +
00030BE	PFU X 2nd -
00030BF	PFU Y 2nd +
00030C0	PFU Y 2nd -
00030C1	PFU Z 2nd +
00030C2	PFU Z 2nd -
00030C3	2nd Mirror Opt/IR Selected
00030C4	2nd Mirror Cs Selected
00030C5	2nd Mirror Ns Selected
00030C6	2nd Mirror Ns(ImR) Selected
00030C7	2nd Mirror Ns(AO) Selected
00030C8	2nd Mirror Link Zeroed Ready
00030C9	2nd Mirror TUE Posn Stop
00030CA	2nd Mirror TUE Posn Run
00030CB	2nd Mirror TUE Posn Ready
00030CC	HSC Drive Not RDY(from 2nd Mirror)
00030CD	HSC Collision(from 2nd Mirror)
00030CE	WFC Collision
00030CF	HSC X/Y/Z 2nd Limit
00030D0	2nd Mirror HSC Not Operation
00030D1	2nd Mirror HSC Operation
0004001	Rotator Real Angle
0004002	Rotator CMD ANS
0004003	Rotator Rate REF
0004004	Rotator Rate FDBK-A
0004005	Rotator Current REF-A
0004006	Rotator Data SMPLG Time
0004007	Rotator Slew Mode
0004008	Rotator Test Mode
0004009	Rotator Test Pattern
000400A	Rotator Test Result
000400B	Rotator Drive On
000400C	Rotator Drive Off
000400D	Rotator POpt Selected
000400E	Rotator PIR Selected
000400F	Rotator Cs Selected
0004010	Rotator NsOpt Selected
0004011	Rotator NsIR Selected
0004012	Rotator Cs Safety SW
0004013	Rotator Cs Handle SW
0004014	Rotator Fault
0004015	MLP1-Rotator Alarm
0004016	Rotator Total Fan Alarm
0004017	Rotator Local
0004018	TCADU2(Rotator) Fault
0004019	Rotator Cs 1st Limit +
000401A	Rotator Cs 1st Limit -
000401B	Rotator Cs 2nd Limit +
000401C	Rotator Cs 2nd Limit -
000401D	Rotator Limit Reset
000401E	Rotator MAINT
000401F	Rotator NsOpt Safety SW
0004020	COML PWR Fault on FRAD
0004021	ImR Switching Stop
0004022	ImR Blue In
0004023	ImR Blue Out
0004024	ImR Red In
0004025	ImR Red Out
0004026	Rotator NsOpt Handle
0004027	Rotator EXT CLK Alarm
0004028	Rotator NsIR Safety SW
0004029	Switch ImR Local
000402A	Switch ImR Fault
000402B	Rotator Rate FDBK-B
000402C	Rotator Drive RDY
000402D	Rotator EMER Stop
000402E	Rotator Position Mode
000402F	Rotator Position(Real SYNC) Mode
0004030	ImR Blue Selected
0004031	ImR Red Selected
0004032	ImR None Selected
0004033	TCSPU1/4 (Cs) Alarm on FRAD
0004034	Rotator Current REF-B
0004035	Rotator Cs ABS ENCDR Not INIT
0004036	Rotator Cs ABS ENCDR Not Zeroed
0004037	Rotator Cs ABS ENCDR Zeroing
0004038	Rotator NsOpt ABS ENCDR Not Zeroed
0004039	Rotator NsOpt ABS ENCDR Zeroing
000403A	Rotator NsIR ABS ENCDR Not Zeroed
000403B	Rotator NsIR ABS ENCDR Zeroing
000403C	Rotator NsIR Handle
000403D	Rotator Drive Safety
000403E	Rotator Cs DPA Fault
000403F	Rotator NsOpt DPA Fault
0004040	Rotator NsIR DPA Fault
0004041	TCDPA1(Rotator) Fault
0004042	TCDPA2(Rotator) Fault
0004043	Rotator NsOpt 1st Limit +
0004044	Rotator NsOpt 1st Limit -
0004045	Rotator NsOpt 2nd Limit +
0004046	Rotator NsOpt 2nd Limit -
0004047	Rotator NsIR 1st Limit +
0004048	Rotator NsIR 1st Limit -
0004049	Rotator NsIR 2nd Limit +
000404A	Rotator NsIR 2nd Limit -
000404B	Rotator Cs ABS ENCDR-1 Alarm
000404C	Rotator Cs ABS ENCDR-2 Alarm
000404D	Rotator Cs ABS ENCDR-3 Alarm
000404E	Rotator Cs ABS ENCDR-4 Alarm
000404F	Rotator Cs ABS ENCDR-1 Not Used
0004050	Rotator Cs ABS ENCDR-2 Not Used
0004051	Rotator Cs ABS ENCDR-3 Not Used
0004052	Rotator Cs ABS ENCDR-4 Not Used
0004053	Rotator NsOpt ABS ENCDR-1 Alarm
0004054	Rotator NsOpt ABS ENCDR-2 Alarm
0004055	Rotator NsOpt ABS ENCDR-3 Alarm
0004056	Rotator NsOpt ABS ENCDR-4 Alarm
0004057	Rotator NsOpt ABS ENCDR-1 Not Used
0004058	Rotator NsOpt ABS ENCDR-2 Not Used
0004059	Rotator NsOpt ABS ENCDR-3 Not Used
000405A	Rotator NsOpt ABS ENCDR-4 Not Used
000405B	Rotator NsIR ABS ENCDR-1 Alarm
000405C	Rotator NsIR ABS ENCDR-2 Alarm
000405D	Rotator NsIR ABS ENCDR-3 Alarm
000405E	Rotator NsIR ABS ENCDR-4 Alarm
000405F	Rotator NsIR ABS ENCDR-1 Not Used
0004060	Rotator NsIR ABS ENCDR-2 Not Used
0004061	Rotator NsIR ABS ENCDR-3 Not Used
0004062	Rotator NsIR ABS ENCDR-4 Not Used
0004063	Rotator Test Ready
0004064	Rotator Test
0004065	Rotator Test Data Send
0004066	Rotator Test Data End
0004067	Rotator CMD VEL
0004068	Rotator Data SMPLG INTVL
0004069	ADC-Rotator Alarm
000406A	Switch ImR NsOpt Selected
000406B	Switch ImR NsIR Selected
000406C	Rotator NsOpt ABS ENCDR Not INIT
000406D	Rotator NsIR ABS ENCDR Not INIT
0004101	ADC Real Angle
0004102	ADC CMD Angle
0004103	ADC Rate REF
0004104	ADC Rate FDBK
0004105	ADC Current REF
0004106	ADC Data SMPLG INTVL
0004107	ADC Position Mode
0004108	ADC Test Mode
0004109	ADC Test Number
000410A	ADC Test Result
000410B	ADC Drive On
000410C	ADC Drive Off
